P, I, D, input, setpoint, err, dErr, int, t
-16.0334, -4.00835e-07, -7.69603, 160334, 0, -160334, -641336, -40083.5, 0.323791
0.643238, -3.94076e-07, 19.0463, 160387, 166819, 6432.38, 1.58719e+06, -39407.6, 0.428861
0.626732, -3.88055e-07, -0.0206158, 160387, 166654, 6267.32, -1717.98, -38805.5, 0.524943
0.626732, -3.85658e-07, 0, 160387, 166654, 6267.32, 0, -38565.8, 0.563185
0.607534, -3.82141e-07, -0.0397956, 160387, 166462, 6075.34, -3316.3, -38214.1, 0.621073
0.592224, -3.7645e-07, -0.0191172, 160387, 166309, 5922.24, -1593.1, -37645, 0.717177
0.58328, -3.7086e-07, -0.0112005, 160245, 166078, 5832.8, -933.374, -37086, 0.813
0.535835, -3.67593e-07, -0.093356, 160245, 165603, 5358.35, -7779.67, -36759.3, 0.873986
0.682735, -3.65181e-07, 0.499068, 158776, 165603, 6827.35, 41589, -36518.1, 0.909308
0.667602, -3.58791e-07, -0.0189715, 158705, 165381, 6676.02, -1580.96, -35879.1, 1.00503
0.522886, -3.53768e-07, -0.180778, 159870, 165099, 5228.86, -15064.8, -35376.8, 1.10109
0.522886, -3.53245e-07, 0, 159870, 165099, 5228.86, 0, -35324.5, 1.11109
0.384159, -3.49933e-07, -0.193106, 160970, 164812, 3841.59, -16092.1, -34993.3, 1.1973
0.231448, -3.47715e-07, -0.191189, 161967, 164281, 2314.48, -15932.4, -34771.5, 1.29315
0.203945, -3.46696e-07, -0.0660799, 161967, 164006, 2039.45, -5506.66, -34669.6, 1.3431
0.102845, -3.4622e-07, -0.262038, 162978, 164006, 1028.45, -21836.5, -34622, 1.38939
-0.129029, -3.47456e-07, -0.290308, 165001, 163711, -1290.29, -24192.3, -34745.6, 1.48524
-0.243047, -3.49791e-07, -0.142469, 165869, 163439, -2430.47, -11872.4, -34979.1, 1.58128
-0.354879, -3.53198e-07, -0.139755, 166691, 163142, -3548.79, -11646.2, -35319.8, 1.6773
