P, I, D, input, setpoint, err, dErr, int, t
-6.6584, -1.6646e-07, -3.19603, 66584, 0, -66584, -266336, -16646, 1.5835
-6.6584, -1.66557e-07, 0, 66584, 0, -66584, 0, -16655.7, 1.58364
-6.6584, -1.66676e-07, 0, 66584, 0, -66584, 0, -16667.6, 1.58382
-6.6584, -1.66736e-07, 0, 66584, 0, -66584, 0, -16673.6, 1.58391
-6.6584, -1.66837e-07, 0, 66584, 0, -66584, 0, -16683.7, 1.58406
-6.6584, -1.66938e-07, 0, 66584, 0, -66584, 0, -16693.8, 1.58422
-6.6584, -1.67031e-07, 0, 66584, 0, -66584, 0, -16703.1, 1.58436
-6.6584, -1.67127e-07, 0, 66584, 0, -66584, 0, -16712.7, 1.5845
-6.6584, -1.67213e-07, 0, 66584, 0, -66584, 0, -16721.3, 1.58463
-6.6584, -1.67299e-07, 0, 66584, 0, -66584, 0, -16729.9, 1.58476
-6.6584, -1.67418e-07, 0, 66584, 0, -66584, 0, -16741.8, 1.58494
-6.6584, -1.97132e-07, 0, 66584, 0, -66584, 0, -19713.2, 1.62956
-6.6537, -2.39667e-07, 0.00882249, 66537, 0, -66537, 735.208, -23966.7, 1.69349
-6.5742, -2.81578e-07, 0.149647, 65742, 0, -65742, 12470.6, -28157.8, 1.75724
-6.4146, -3.22645e-07, 0.299151, 64146, 0, -64146, 24929.3, -32264.5, 1.82126
-6.1687, -3.61995e-07, 0.462585, 61687, 0, -61687, 38548.8, -36199.5, 1.88505
-5.8438, -3.99734e-07, 0.603708, 58438, 0, -58438, 50309, -39973.4, 1.94963
-5.437, -4.34364e-07, 0.766443, 54370, 0, -54370, 63870.3, -43436.4, 2.01332
-4.9471, -4.66041e-07, 0.918091, 49471, 0, -49471, 76507.6, -46604.1, 2.07736
0.797418, -4.60942e-07, 10.7801, 43760, 51734.2, 7974.18, 898340, -46094.2, 2.1413
0.797418, -4.59349e-07, 0, 43760, 51734.2, 7974.18, 0, -45934.9, 2.16127
1.434, -4.5289e-07, 1.69578, 37383, 51723, 14340, 141315, -45289, 2.20632
2.0737, -4.39815e-07, 1.21749, 30986, 51723, 20737, 101458, -43981.5, 2.26937
2.70099, -4.22503e-07, 1.17441, 24656, 51665.9, 27009.9, 97867.5, -42250.3, 2.33347
3.28451, -4.01444e-07, 1.09215, 18771, 51616.1, 32845.1, 91012.6, -40144.4, 2.39758
3.28451, -3.98655e-07, 0, 18771, 51616.1, 32845.1, 0, -39865.5, 2.40608
3.80441, -3.77597e-07, 1.12715, 13572, 51616.1, 38044.1, 93929.4, -37759.7, 2.46143
4.23361, -3.50439e-07, 0.802863, 9204, 51540.1, 42336.1, 66905.3, -35043.9, 2.52558
