t, az, alt, rAz, rAlt, q1, q2, camX, camY, azOff, altOff
1691536646, 0, 0, 57.2958, 57.2958, -44.5644, -85.1184, 0, 0, 25.8685, -12.9357
1691536646, 254.787, 44.328, 82.5364, 43.5668, -44.5644, -85.1184, 0, 0, 25.8685, -12.9357
1691536646, 254.787, 44.328, 82.5364, 43.5668, -44.262, -84.7386, 0, 0, 0.627867, 0.793275
1691536646, 254.787, 44.328, 82.5364, 43.5668, -41.6592, -82.2366, 0, 0, 0.136369, 0.460415
1691536646, 254.788, 44.3272, 82.5599, 43.5612, -41.6592, -82.2366, 0, 0, -2.87789, -2.37314
1691536646, 254.788, 44.3272, 82.5599, 43.5612, -41.508, -81.5778, 0, 0, -2.90139, -2.36758
1691536646, 254.788, 44.3272, 82.5599, 43.5612, -44.7246, -78.9624, 0, 0, -3.744, -2.59778
1691536647, 254.788, 44.3272, 82.5599, 43.5612, -48.5874, -76.581, 0, 0, -7.91175, 0.122933
1691536647, 254.789, 44.3264, 82.4353, 43.5687, -48.5874, -76.581, 0, 0, -12.3935, 3.28249
1691536647, 254.789, 44.3264, 82.4353, 43.5687, -49.6836, -76.6314, 0, 0, -12.2689, 3.27507
1691536647, 254.789, 44.3264, 82.4353, 43.5687, -50.2596, -77.4324, 0, 0, -12.6043, 4.31819
1691536647, 254.789, 44.3256, 82.7582, 43.5539, -50.2596, -77.4324, 0, 0, -11.6594, 5.06721
1691536647, 254.789, 44.3256, 82.7582, 43.5539, -50.6232, -78.9282, 0, 0, -11.9823, 5.08198
1691536647, 254.789, 44.3256, 82.7582, 43.5539, -49.7142, -81.0162, 0, 0, -9.9002, 5.78731
1691536647, 254.789, 44.3256, 82.7582, 43.5539, -48.2688, -83.259, 0, 0, -6.49756, 5.33803
1691536647, 254.789, 44.3256, 82.7582, 43.5539, -46.971, -85.1562, 0, 0, -2.8274, 4.27274
1691536647, 254.791, 44.3246, 83.3069, 43.58, -46.971, -85.1562, 0, 0, -2.8274, 4.27274
1691536647, 254.791, 44.3246, 83.3069, 43.58, -45.378, -86.8842, 0, 0, -0.386117, 3.17219
1691536647, 254.791, 44.3246, 83.3069, 43.58, -43.722, -88.0992, 0, 0, 2.26182, 1.7122
1691536647, 254.791, 44.3246, 83.3069, 43.58, -42.1362, -88.3746, 0, 0, 4.06386, 0.111815
1691536647, 254.791, 44.3246, 83.3069, 43.58, -41.0112, -88.7274, 0, 0, 4.5017, -1.46469
1691536648, 254.792, 44.3232, 83.6597, 43.599, -41.0112, -88.7274, 0, 0, 5.00682, -2.58113
1691536648, 254.792, 44.3232, 83.6597, 43.599, -40.2588, -88.587, 0, 0, 4.65401, -2.60011
1691536648, 254.792, 44.3232, 83.6597, 43.599, -39.825, -87.9894, 0, 0, 4.48899, -3.35497
1691536648, 254.792, 44.3232, 83.6597, 43.599, -39.7944, -87.1326, 0, 0, 3.72309, -3.80343
1691536648, 254.793, 44.3224, 83.6221, 43.5935, -39.7944, -87.1326, 0, 0, 3.72309, -3.80343
1691536648, 254.793, 44.3224, 83.6221, 43.5935, -40.122, -86.3028, 0, 0, 2.64819, -3.85885
1691536648, 254.793, 44.3224, 83.6221, 43.5935, -40.7412, -85.4838, 0, 0, 1.54769, -3.57194
1691536648, 254.793, 44.3224, 83.6221, 43.5935, -41.5548, -84.6864, 0, 0, 0.426385, -3.00538
1691536648, 254.794, 44.3215, 83.6182, 43.6025, -41.5548, -84.6864, 0, 0, -0.706844, -2.25661
1691536648, 254.794, 44.3215, 83.6182, 43.6025, -42.5772, -84.0834, 0, 0, -0.70298, -2.2656
